companyCode,enablementProcessId,businessTemplateId,licenseAgreementTypeId,shortName,longName,programTypeId,swProdBrandCode,version,release,modification,scheduleName,rfaNumber,announcementDate,genAvailDateLicenseDsw,electronicAvailDate,physicalAvailDate
1,4,12,2,Jeffrey Peters,Synchronized exuding standardization,2,10,4232,3789,6108,implement ubiquitous deliverables,17605618,2022-05-31,2022-06-13,2022-05-23,2022-06-14
1,2,8,1,Rebecca Mccullough,Integrated holistic hub,1,4,927,7524,1680,revolutionize clicks-and-mortar mindshare,32977424,2022-05-31,2022-05-28,2022-06-12,2022-05-19
2,1,1,2,Brittany Cohen,Re-contextualized asynchronous matrix,1,1,9181,2802,3554,incentivize open-source relationships,91459022,2022-06-04,2022-06-14,2022-06-03,2022-05-30
1,2,12,2,Danielle Hobbs,Versatile didactic structure,1,11,2090,8660,8578,innovate wireless models,20047009,2022-06-02,2022-06-06,2022-06-16,2022-06-14
2,4,6,1,Morgan Taylor,Multi-lateral 5thgeneration project,2,13,1082,2412,2384,leverage dynamic convergence,53080684,2022-05-29,2022-06-08,2022-06-01,2022-05-22
2,1,5,1,Jeffrey Huff,Visionary heuristic product,4,7,4347,9852,4515,embrace end-to-end e-services,66608684,2022-05-19,2022-05-25,2022-06-03,2022-05-21
2,3,1,2,Patrick Williams,User-friendly multi-state task-force,4,2,7056,1170,2046,envisioneer integrated models,59597254,2022-06-01,2022-06-04,2022-06-06,2022-05-21
2,2,10,2,Karen Franco,Public-key web-enabled neural-net,4,3,6004,5753,2862,embrace visionary networks,23504905,2022-05-22,2022-06-02,2022-05-26,2022-06-16
1,3,5,1,Michael Richard,Front-line exuding approach,2,3,6521,9083,6061,generate bleeding-edge bandwidth,53313430,2022-06-12,2022-05-28,2022-06-13,2022-06-04
2,4,8,1,Roberta Delgado,Advanced logistical info-mediaries,4,8,3614,6321,1755,unleash frictionless users,30558922,2022-05-27,2022-06-11,2022-06-07,2022-06-03
1,1,9,2,Dr. Daniel Price,Compatible bi-directional alliance,1,1,6770,7391,6967,drive one-to-one synergies,67187638,2022-06-06,2022-05-28,2022-06-07,2022-05-19
2,4,15,1,Stephen Turner,Pre-emptive transitional knowledgebase,2,6,556,4823,7016,reinvent clicks-and-mortar users,04397946,2022-06-05,2022-06-03,2022-05-24,2022-06-10
2,2,15,2,Zoe Johnson,Quality-focused uniform solution,3,6,3624,1209,9229,scale extensible supply-chains,97571780,2022-05-29,2022-05-22,2022-06-10,2022-05-23
2,4,7,1,James Martinez,Pre-emptive encompassing initiative,3,2,835,8429,7698,utilize B2C content,40569383,2022-05-28,2022-05-30,2022-06-12,2022-06-05
1,2,6,2,Kevin Stanton,Devolved reciprocal infrastructure,3,1,9061,8519,7023,orchestrate strategic partnerships,01402896,2022-05-25,2022-06-16,2022-06-13,2022-05-22
2,4,13,2,Michelle Zimmerman,Switchable web-enabled artificial intelligence,2,2,4266,427,9751,innovate user-centric models,40880303,2022-05-29,2022-06-14,2022-05-19,2022-05-25
1,3,1,2,Carl Johnson,Assimilated multimedia Internet solution,1,4,1607,865,5275,seize back-end systems,90150869,2022-05-29,2022-06-13,2022-06-09,2022-06-13
2,1,14,1,Kimberly Boone,Monitored well-modulated policy,4,1,2068,2493,4751,scale seamless bandwidth,83831942,2022-06-03,2022-05-31,2022-05-26,2022-05-29
1,3,12,2,Lance Marshall,Adaptive zero administration methodology,2,3,5096,7800,6679,repurpose synergistic deliverables,27859506,2022-06-07,2022-06-14,2022-05-26,2022-06-03
2,1,4,1,Anita Valdez,Triple-buffered uniform definition,1,13,7031,5604,5754,expedite mission-critical action-items,35441366,2022-05-19,2022-06-07,2022-06-04,2022-06-12
1,3,13,1,Tammy Garrett,Synergized national budgetary management,2,11,9936,8124,4742,drive cross-media e-business,78224643,2022-06-13,2022-06-03,2022-06-06,2022-05-21
2,3,6,1,Doris Webb,Reduced tangible data-warehouse,3,2,2759,7674,191,evolve back-end users,91785718,2022-06-07,2022-06-16,2022-06-07,2022-06-04
2,4,6,2,Angela Turner,Virtual foreground instruction set,2,3,3067,7926,9777,transform leading-edge e-business,32049022,2022-05-28,2022-06-13,2022-05-27,2022-06-12
2,1,15,2,Susan Ross,Cross-platform grid-enabled knowledge user,1,12,300,680,3248,drive granular communities,87578799,2022-05-25,2022-05-21,2022-06-01,2022-05-31
1,2,5,1,Brian Figueroa,Mandatory didactic methodology,2,2,1703,7723,2008,cultivate plug-and-play e-commerce,47673267,2022-05-27,2022-06-08,2022-06-02,2022-05-21
2,3,13,1,Diana Barajas,Intuitive zero administration attitude,1,3,7632,3495,928,harness cross-media architectures,00127585,2022-06-01,2022-05-23,2022-06-01,2022-06-04
1,4,4,1,Phillip Collins,Self-enabling mission-critical standardization,2,13,3235,8570,7779,scale revolutionary models,85942394,2022-06-11,2022-06-09,2022-05-27,2022-05-23
2,4,10,2,Albert Lloyd,Synergistic bifurcated hierarchy,2,10,3316,2746,9482,syndicate bricks-and-clicks methodologies,96767931,2022-06-03,2022-06-08,2022-05-25,2022-06-11
2,3,6,2,Amber Alvarez,Synchronized intangible capacity,1,12,613,9207,3586,extend end-to-end web services,73963578,2022-06-10,2022-05-23,2022-06-16,2022-05-24
1,2,12,1,Sharon Davis,Enhanced national superstructure,1,7,8638,6209,6268,re-contextualize value-added portals,91145680,2022-06-05,2022-06-15,2022-06-07,2022-06-09
2,1,6,1,Robert Leblanc,Up-sized scalable open system,2,13,4182,3677,1714,whiteboard vertical synergies,41748237,2022-06-03,2022-05-30,2022-06-10,2022-06-02
2,4,11,2,Michael Davis,Team-oriented background frame,1,3,798,6659,9201,redefine extensible supply-chains,92033733,2022-05-25,2022-05-26,2022-05-27,2022-06-16
1,3,9,1,Dr. Ashley Peters,Distributed solution-oriented focus group,4,12,2965,7736,3094,reinvent ubiquitous applications,14314421,2022-05-29,2022-05-30,2022-05-22,2022-05-21
2,3,14,1,Tony George,Cross-group object-oriented methodology,2,4,8766,2724,5671,incubate viral methodologies,54816107,2022-06-03,2022-05-29,2022-05-21,2022-05-19
2,2,7,2,Kayla Walker,Operative demand-driven paradigm,1,8,93,8167,9454,morph magnetic applications,62182164,2022-06-03,2022-05-20,2022-05-28,2022-05-24
2,2,1,1,Melinda Richmond,Operative uniform structure,2,10,3422,5850,9051,matrix dot-com metrics,87031324,2022-05-29,2022-06-03,2022-06-11,2022-06-05
1,2,13,1,Steven Elliott,Compatible clear-thinking throughput,3,13,158,9102,1242,productize global users,21497186,2022-05-20,2022-05-26,2022-06-11,2022-06-13
1,1,2,2,Ralph Johnson,Synergistic maximized knowledge user,3,4,103,4382,182,envisioneer user-centric markets,14671104,2022-05-22,2022-06-16,2022-06-14,2022-06-16
2,3,11,2,Barbara Lopez,Inverse grid-enabled application,4,5,9759,9019,110,maximize out-of-the-box convergence,13020934,2022-06-10,2022-05-30,2022-06-03,2022-05-24
1,1,14,2,Sara Walker,Down-sized value-added matrices,1,12,1758,5656,4240,optimize granular paradigms,91192387,2022-06-11,2022-05-25,2022-06-12,2022-06-07
2,1,7,1,Jillian Rogers,Extended actuating neural-net,2,2,8993,2482,9294,benchmark visionary action-items,43804467,2022-05-23,2022-06-02,2022-05-23,2022-06-11
2,3,14,1,Jeff Ponce,Multi-channeled empowering Graphical User Interface,2,1,759,6797,8651,engineer sticky markets,49372953,2022-05-19,2022-06-10,2022-06-16,2022-05-19
1,2,11,1,David Pierce,Decentralized heuristic emulation,1,8,6766,3233,8665,brand bleeding-edge applications,90282577,2022-05-22,2022-05-31,2022-05-29,2022-05-23
2,4,7,1,Richard Chen,Fundamental responsive moderator,2,13,931,4928,9341,cultivate web-enabled eyeballs,16696150,2022-05-30,2022-06-09,2022-05-24,2022-05-21
1,2,2,2,Michael Oneal,Adaptive multi-tasking hierarchy,4,4,1099,4722,2258,utilize sticky mindshare,16022478,2022-06-13,2022-06-06,2022-05-21,2022-06-15
2,2,16,1,William Bradley,Persistent full-range encryption,2,13,2714,3070,1061,transition compelling platforms,25675368,2022-05-27,2022-05-22,2022-06-15,2022-05-22
1,4,3,1,Sean Reynolds,Progressive attitude-oriented methodology,2,2,4990,1322,228,deliver virtual solutions,03884393,2022-05-22,2022-06-16,2022-05-27,2022-06-03
2,3,14,2,Alyssa Pena,Multi-channeled multi-state time-frame,3,6,7654,2669,4522,whiteboard revolutionary methodologies,93867740,2022-06-15,2022-05-31,2022-05-31,2022-05-25
1,2,2,1,Adrian Allison,Exclusive uniform approach,4,12,8422,3972,4044,implement back-end schemas,43381371,2022-06-14,2022-06-08,2022-06-02,2022-06-02
2,2,8,2,Miss Pamela Rodgers DDS,Inverse bifurcated open architecture,3,8,8124,3030,3955,aggregate 24/7 info-mediaries,62412360,2022-05-31,2022-06-08,2022-06-13,2022-06-03
2,2,3,1,Henry Stein,Front-line cohesive superstructure,4,11,3482,86,7517,innovate vertical portals,46196354,2022-06-11,2022-05-31,2022-06-07,2022-05-25
1,3,12,2,Michael Contreras,Grass-roots local initiative,1,1,5154,3511,7699,orchestrate transparent e-services,66562511,2022-05-31,2022-05-22,2022-06-09,2022-06-09
2,1,1,1,Kristina Rodgers,Secured needs-based circuit,3,13,6922,5435,9969,extend efficient info-mediaries,71023274,2022-05-22,2022-06-15,2022-05-30,2022-06-12
2,1,4,2,Andrew Zimmerman,Profound foreground algorithm,4,13,4724,522,5323,repurpose integrated communities,99674854,2022-05-20,2022-05-19,2022-06-13,2022-05-25
1,2,3,1,Rachel Williams,Expanded 24hour service-desk,1,6,7919,5575,4245,reinvent back-end users,38125157,2022-05-19,2022-06-06,2022-06-02,2022-06-11
1,4,7,1,Jon Tyler,Diverse intermediate productivity,1,5,6889,9989,4212,engage impactful paradigms,49910766,2022-06-08,2022-05-21,2022-05-28,2022-05-21
2,2,11,1,Joshua Martinez,Multi-layered well-modulated Graphic Interface,1,8,5751,1876,8717,incentivize dynamic synergies,21296246,2022-05-22,2022-06-11,2022-05-20,2022-05-24
2,1,6,1,Michael Martinez,Innovative content-based initiative,2,10,5893,259,6784,productize value-added synergies,13521752,2022-06-16,2022-05-21,2022-05-28,2022-06-08
1,4,14,2,Monica Stanley,Down-sized zero administration policy,4,13,9962,16,2741,repurpose dynamic solutions,14711497,2022-05-19,2022-06-10,2022-05-25,2022-06-07
1,2,15,2,Erin Hughes,Cross-group holistic initiative,1,12,6853,1014,4936,envisioneer global web services,37890032,2022-05-27,2022-05-31,2022-06-16,2022-06-14
2,2,12,1,Brandon Johnson,Re-contextualized fresh-thinking monitoring,1,9,2999,8273,289,architect rich info-mediaries,40269894,2022-06-07,2022-05-23,2022-06-15,2022-06-09
1,1,11,1,Kara Davis,Polarized context-sensitive time-frame,4,4,7267,6791,4191,transition sticky users,10012932,2022-05-31,2022-05-20,2022-05-30,2022-06-03
1,2,9,1,Angela Burns,Visionary encompassing circuit,4,8,8188,7031,7087,syndicate 24/365 solutions,68512521,2022-06-16,2022-06-14,2022-06-15,2022-05-19
